,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
6947,Lost Cause,,,,62.4518500441533,62.4518500441533
34284,Phantom Raiders,,,,62.451821587242016,62.451821587242016
34434,Blackwell's Island,,,,62.451821587242016,62.451821587242016
14371,Maohgai,,,,62.4514226776813,62.4514226776813
3529,Deux cents dirhams,,,,62.4514226776813,62.4514226776813
35848,"Hail, Brother",,,,62.4514226776813,62.4514226776813
6426,Burisuta,,,,62.45122404845533,62.45122404845533
5976,Summoning,,,,62.45122404845533,62.45122404845533
14085,Capitalismo Selvagem,,,,62.45122404845533,62.45122404845533
35441,Boulder Dam,,,,62.45122404845533,62.45122404845533
20599,All American Girls II: In Heat,,,,62.45122404845533,62.45122404845533
30140,San Antone,,,,62.45122404845533,62.45122404845533
33934,Rise and Shine,,,,62.45122404845533,62.45122404845533
34619,Pete-Roleum and His Cousins,,,,62.45122404845533,62.45122404845533
5465,Life Drawing,,,,62.45108903194761,62.45108903194761
34701,Torchy Blane in Chinatown,,,,62.450948783145606,62.450948783145606
16238,Heaven Tonight,,,,62.45030641116145,62.45030641116145
21216,Kniven i hjertet,,,,62.45030641116145,62.45030641116145
27977,This Rebel Breed,,,,62.45019408106822,62.45019408106822
26156,Uccidi o muori,,,,62.45019408106822,62.45019408106822
31718,Lulu Belle,,,,62.45019408106822,62.45019408106822
26438,Swing Ding Amigo,,,,62.45019408106822,62.45019408106822
5068,Drowning,,,,62.44979027631671,62.44979027631671
36353,Broken Dreams,,,,62.44954300526996,62.44954300526996
1263,Raport despre starea natiunii,,,,62.44954300526996,62.44954300526996
1900,Cheese Makes You Dream,,,,62.44954300526996,62.44954300526996
37918,Bataille de boules de neige,,,,62.44954300526996,62.44954300526996
37072,"Du Barry, Woman of Passion",,,,62.44954300526996,62.44954300526996
9094,Cash in Hand,,,,62.44954300526996,62.44954300526996
30435,Old Oklahoma Plains,,,,62.44954300526996,62.44954300526996
30536,Trots,,,,62.44942817395075,62.44942817395075
10053,Wedding Knives,,,,62.44942817395075,62.44942817395075
37567,Heading Home,,,,62.44935358423681,62.44935358423681
23030,GoldenRod,,,,62.44935358423681,62.44935358423681
6332,Baise-moi partout,,,,62.44935358423681,62.44935358423681
11058,Svart fredag,,,,62.44935358423681,62.44935358423681
10223,Better Than Ever,,,,62.44935358423681,62.44935358423681
34215,Let George Do It,,,,62.44935358423681,62.44935358423681
30909,Visiting Italy,,,,62.449165574627735,62.449165574627735
35084,Alcatraz Island,,,,62.449165574627735,62.449165574627735
10180,Arresting Gena,,,,62.449165574627735,62.449165574627735
39275,The Deported,,,,62.449165574627735,62.449165574627735
35436,Blue Blazes,,,,62.449165574627735,62.449165574627735
31001,Deported,,,,62.449165574627735,62.449165574627735
18537,Tian shi xing dong III mo nu mo ri,,,,62.449165574627735,62.449165574627735
33259,Swing Shift Maisie,,,,62.448637706742545,62.448637706742545
15348,Wir Enkelkinder,,,,62.44858861554953,62.44858861554953
4585,Vakantiefilm BV,,,,62.44858861554953,62.44858861554953
29195,Teufel in Seide,,,,62.448534678398495,62.448534678398495
4116,Octavia,,,,62.448534678398495,62.448534678398495
8219,Lazy Sunday Afternoon,,,,62.448534678398495,62.448534678398495
22519,Sweater Girls,,,,62.44843751669735,62.44843751669735
19304,French Lovers,,,,62.44843751669735,62.44843751669735
7231,Road to Sundance,,,,62.44843751669735,62.44843751669735
9611,Mother Ireland,,,,62.44843751669735,62.44843751669735
22147,Stortjuven,,,,62.44843751669735,62.44843751669735
31882,Bandits of Dark Canyon,,,,62.44843751669735,62.44843751669735
33422,Friendly Enemies,,,,62.44843751669735,62.44843751669735
37790,Where the Breakers Roar,,,,62.44843751669735,62.44843751669735
35700,Trolley Ahoy,,,,62.44813852602772,62.44813852602772
24747,Honky,,,,62.44813852602772,62.44813852602772
29784,Popeye's 20th Anniversary,,,,62.44813852602772,62.44813852602772
30979,Cargo to Capetown,,,,62.44813852602772,62.44813852602772
35693,Toonerville Trolley,,,,62.44813852602772,62.44813852602772
32808,Greenwich Village,,,,62.44806363418114,62.44806363418114
35824,Don't Bet on Blondes,,,,62.447777148481535,62.447777148481535
18399,Positive I.D.,,,,62.44720527472868,62.44720527472868
27373,I Thank a Fool,,,,62.44720527472868,62.44720527472868
12434,Diabelska edukacja,,,,62.44720527472868,62.44720527472868
26128,Speedy Ghost to Town,,,,62.44711293217076,62.44711293217076
36912,His Woman,,,,62.44711293217076,62.44711293217076
2036,Dreamscapes,,,,62.44711293217076,62.44711293217076
34285,Phantom Rancher,,,,62.44711293217076,62.44711293217076
28518,Sing Boy Sing,,,,62.44711293217076,62.44711293217076
1443,Sugar Orange,,,,62.44711293217076,62.44711293217076
32644,South of the Rio Grande,,,,62.44702876109702,62.44702876109702
23372,Gemini Affair,,,,62.44702876109702,62.44702876109702
10794,Nel profondo paese straniero,,,,62.44702876109702,62.44702876109702
18634,Bad Girls in the Movies,,,,62.44702876109702,62.44702876109702
33829,Kiss the Boys Goodbye,,,,62.44702876109702,62.44702876109702
35381,Valley of Terror,,,,62.44702876109702,62.44702876109702
6903,Lagarista,,,,62.44702876109702,62.44702876109702
30215,Wheel of Fate,,,,62.44702876109702,62.44702876109702
19640,Wetherby,,80.0,41.0,66.34096704591862,62.4469890153062
